Polygon Index,Coordinates
0,"[(496.5100000000002, 1137.4652441694207), (500.49443712771716, 1118.8644782043839), (511.13823886463217, 1103.0982574049638), (526.9006579799632, 1092.4488265589757), (545.5000000000002, 1088.4577477408498), (545.5000000000001, 804.4563548837068), (533.5000000000001, 750.9372477408498), (533.5, 26.068458455135783), (520.5, 13.063815597992857), (10.0, 13.063815597992857), (10.000000000000227, 1137.4652441694207), (496.5100000000002, 1137.4652441694207)]"
1,"[(496.5100000000001, 1155.571845887219), (500.4944371277171, 1174.172611852256), (511.1382388646321, 1189.9388326516762), (526.9006579799632, 1200.588263497664), (545.5000000000001, 1204.5793423157902), (545.5000000000002, 1488.5807351729331), (533.5000000000002, 1542.09984231579), (533.5000000000003, 2266.968631601504), (520.5000000000003, 2279.973274458647), (10.000000000000256, 2279.973274458647), (10.000000000000057, 1155.5718458872193), (496.5100000000001, 1155.571845887219)]"
2,"[(499.29468571428595, 2298.0759092512867), (10.0, 2298.0759092512867), (10.000000000000114, 2805.0759092512867), (23.00464285714304, 2818.0759092512867), (474.20572857142906, 2818.0759092512867), (475.3822826181441, 2813.7950160410596), (478.03710247931105, 2810.2366094303757), (481.80554279941106, 2807.889444405064), (486.1700000000001, 2807.0759092512867), (499.1846464285721, 2807.0759092512867), (499.29468571428595, 2298.0759092512867)]"
3,"[(506.6468678152556, 2295.016060578452), (995.9415535295416, 2295.016060578452), (995.9415535295416, 2802.016060578452), (982.9369106723987, 2815.016060578452), (531.7358249581127, 2815.016060578452), (530.5592709113978, 2810.735167368225), (527.9044510502307, 2807.176760757541), (524.1360107301307, 2804.8295957322293), (519.7715535295417, 2804.016060578452), (506.7569071009697, 2804.016060578452), (506.6468678152556, 2295.016060578452)]"
